NearestIntersectionLocation,crime_rate,rating,Latitude,Longitude
AVALON PL,5.375766046661649e-05,Low,43.4268782119187,-80.48988477239669
Abbotsford St / Hespeler Rd / Wauchope Ave,0.0002419094720997742,Low,43.38037823446821,-80.31956943572494
Abbotsford St / Sekura Cres,2.6878830233308245e-05,Low,43.380691798397045,-80.31777177579397
Abbotswood Crt / Redfox Rd,1.3439415116654123e-05,Very Low,43.49652621468083,-80.51674428909149
Abbott Cres / Holland Cir / Michigan Ave,5.375766046661649e-05,Low,43.44747669691659,-80.30968354519635
Abbott Cres / Michigan Ave,5.375766046661649e-05,Low,43.44852896834662,-80.31002133120337
Aberdeen Lane / Churchill Dr,1.3439415116654123e-05,Very Low,43.354764337136906,-80.32347869936011
Aberdeen Lane / Gilholm Ave,1.3439415116654123e-05,Very Low,43.35343403818041,-80.32351321694084
Aberdeen Rd / Forsyth Dr,2.6878830233308245e-05,Low,43.45241056392129,-80.52962754629228
Aberdeen Rd / Westgate Walk,2.6878830233308245e-05,Low,43.4516081751296,-80.5291028129568
Aberdeen Rd N / Laneway 142,2.6878830233308245e-05,Low,43.36051210958415,-80.32417827417522
Aberdeen Rd N / Wentworth Ave,1.3439415116654123e-05,Very Low,43.36001628912302,-80.32416086424493
Abraham St / Jacob St,1.3439415116654123e-05,Very Low,43.40168404341697,-80.37060829201074
Acacia St / Sydney St S,1.3439415116654123e-05,Very Low,43.43479812760297,-80.47583184711827
Academy Cres / Old Post Rd,2.6878830233308245e-05,Low,43.46728956468854,-80.55406605040193
Academy Cres / Old Post Rd,2.6878830233308245e-05,Low,43.467892224479634,-80.55334520948276
Acadia Crt / Eastbridge Blvd,9.407590581657886e-05,Low,43.50401472574414,-80.50863385722464
Acorn Pl / East Morningside Cir,1.3439415116654123e-05,Very Low,43.37496162448839,-80.68646509814073
Acorn Way / Bowie Dr,8.063649069992474e-05,Low,43.38832783416254,-80.30867535344802
Acorn Way / Elgin St N / Steeles Cres,5.375766046661649e-05,Low,43.38945076758426,-80.31106867921848
Acorn Way / Foot Cres,0.00018815181163315772,Low,43.388452382614055,-80.30787860590848
Acorn Way / Foot Cres,0.00018815181163315772,Low,43.38826623731412,-80.30696180075412
Acorn Way / Goodwood Crt,8.063649069992474e-05,Low,43.3882484797353,-80.30639370771816
Acorn Way / Northview Heights Dr,4.031824534996237e-05,Low,43.388559240014715,-80.30566528230821
Acorn Way / Small Crt,0.0001747123965165036,Low,43.388975705399424,-80.3103077374132
Activa Ave / Berry Moss St,0.00018815181163315772,Low,43.40543848758912,-80.51672965857283
Activa Ave / Bridlewreath St,0.00014783356628319535,Low,43.40294841196076,-80.5157399788182
Activa Ave / Bridlewreath St,0.00014783356628319535,Low,43.40677569322206,-80.51211933107105
Activa Ave / Bush Clover Cres,4.031824534996237e-05,Low,43.41091007157859,-80.5097680126651
Activa Ave / Bush Clover Cres / Wilderness Dr,6.719707558327061e-05,Low,43.4101976116831,-80.50995830234275
Activa Ave / Copper Leaf St,0.00013439415116654123,Low,43.408093318452956,-80.51123515542308
Activa Ave / Cotton Grass St,9.407590581657886e-05,Low,43.40735596962676,-80.51166922247303
Activa Ave / David Bergey Dr,8.063649069992474e-05,Low,43.40520447395826,-80.51830021898533
Activa Ave / Doll Crt,1.3439415116654123e-05,Very Low,43.40227740395188,-80.51369289391225
Activa Ave / Donnenwerth Dr,0.0001209547360498871,Low,43.40297860990133,-80.5098533575413
Activa Ave / Grey Fox Dr / Hackberry St,6.719707558327061e-05,Low,43.413027494002726,-80.50899469470488
Activa Ave / Henhoeffer Cres,4.031824534996237e-05,Low,43.40271795342501,-80.51504069341817
Activa Ave / Henhoeffer Cres,4.031824534996237e-05,Low,43.40213593323607,-80.51326022098594
Activa Ave / Isaiah Dr,5.375766046661649e-05,Low,43.403795349687925,-80.52032618573584
Activa Ave / Lemonbalm St / Max Becker Dr,1.3439415116654123e-05,Very Low,43.403651830716576,-80.50914119743948
Activa Ave / Max Becker Dr,0.00021503064186646596,Low,43.40628395673428,-80.51281272799146
Activa Ave / Periwinkle St,4.031824534996237e-05,Low,43.40213522423282,-80.51207979006229
Activa Ave / Reistview St,1.3439415116654123e-05,Very Low,43.40242690089639,-80.51415024951501
Activa Ave / Snowdrop Cres,0.00013439415116654123,Low,43.402759306283265,-80.51886317754712
Activa Ave / Snowdrop Cres,0.00013439415116654123,Low,43.40283355771534,-80.51791767945815
Activa Ave / Sweet William St / Yarrow Crt,0.00013439415116654123,Low,43.40247175627459,-80.51058748096047
Ada St / Belleview Ave,0.0001209547360498871,Low,43.453014718357146,-80.46296014790173
Ada St / Burbank Rd,5.375766046661649e-05,Low,43.45039512019825,-80.46195492398478
Ada St / Donald St,6.719707558327061e-05,Low,43.452213832667134,-80.46240007264754
Ada St / Wedgewood Dr,5.375766046661649e-05,Low,43.45130511752098,-80.46217025350309
Adam Ferrie Pl / Trillium Dr,1.3439415116654123e-05,Very Low,43.40237597982097,-80.46290929828994
Adam St / Bergey St,1.3439415116654123e-05,Very Low,43.42947731171126,-80.30791131543229
Adam St / Franklin Blvd,2.6878830233308245e-05,Low,43.430011705663524,-80.30879004186781
Adam St / Guelph Ave / Queen St E / Queen St W,0.0004300612837329319,Low,43.43125917802279,-80.31084677288105
Adam St / King St N,1.3439415116654123e-05,Very Low,43.534581950843624,-80.55436442039854
Adam St / Margaret Ave,1.3439415116654123e-05,Very Low,43.46006870244708,-80.49158843869543
Adam St / Queensway Dr,5.375766046661649e-05,Low,43.534694977820116,-80.5555560992978
Adam St / Tannery St E,4.031824534996237e-05,Low,43.43056319439187,-80.30969793066602
Addison Crt / Bayne Cres,0.00016127298139984947,Low,43.383547003681464,-80.29827037524802
Adelaide St / Belmont Ave W,0.00010751532093323298,Low,43.444755816414464,-80.51275365674633
Adelaide St / Lawrence Ave,1.3439415116654123e-05,Very Low,43.44357015346224,-80.51609667691827
Adelaide St / Manser Rd,4.031824534996237e-05,Low,43.58244048631107,-80.72763830048173
Adelaide St / Patricia Ave,0.0003628642081496613,Low,43.44557768950993,-80.5104003945601
Adencliffe St / Creek Ridge St,4.031824534996237e-05,Low,43.381421509074094,-80.44165325585818
Adler Dr / Calvin Crt,2.6878830233308245e-05,Low,43.4285089421155,-80.28842287343852
Adler Dr / Cooper St,2.6878830233308245e-05,Low,43.42528881557881,-80.29334325228355
Adler Dr / Kroeger Cres / Tyndale Dr,1.3439415116654123e-05,Very Low,43.427418491887735,-80.2880657421849
Adler Dr / McFarlane Dr,1.3439415116654123e-05,Very Low,43.42563135389204,-80.29203205625069
Adler Dr / Patton Dr,4.031824534996237e-05,Low,43.425516877516756,-80.29087542302985
Admiral Rd / Farnham Ave / Roxborough Ave,0.00022847005698312009,Low,43.43701911558916,-80.50618368683033
Agnes St / Gruhn St,2.6878830233308245e-05,Low,43.45275387397978,-80.50648362621757
Agnes St / Walter St,0.00010751532093323298,Low,43.454061448629766,-80.50570268819148
Agnes St / William St,1.3439415116654123e-05,Very Low,43.40002035861221,-80.36136779049788
Ahrens St E / Ahrens St W / Queen St N,0.00045694011396624017,Low,43.453281598428916,-80.48636728234709
Ahrens St W / Blucher St,1.3439415116654123e-05,Very Low,43.461411243092634,-80.49626613666503
Ahrens St W / Breithaupt St,2.6878830233308245e-05,Low,43.45669226718246,-80.4925314914733
Ahrens St W / College St,0.00014783356628319535,Low,43.455118882254546,-80.4906450479344
Ahrens St W / Louisa St,0.00032254596279969894,Low,43.45852559878248,-80.49364163244721
Ahrens St W / Maynard Ave,8.063649069992474e-05,Low,43.45486750397747,-80.49005306256153
